job_title,requirements
Chief Executives,"Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
General and Operations Managers,"Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. capable of making decisions in uncertain or dynamic situations. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments; has expertise in adaptability"
Marketing Managers,"Enjoys interacting with people in complex environments. prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations. enjoys diverse and changing work activities excels at building and maintaining effective relationships across teams and stakeholders; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments; has expertise in adaptability"
Sales Managers,"Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments; has expertise in adaptability"
Public Relations and Fundraising Managers,Good at expressing ideas and leading conversations demonstrates strong verbal and written communication skills in diverse professional settings
Administrative Services Managers,"Good at expressing ideas and leading conversations. prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations demonstrates strong verbal and written communication skills in diverse professional settings; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Computer and Information Systems Managers,"Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Financial Managers,"Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Purchasing Managers,"Prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Human Resources Managers,"Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Training and Development Managers,"Prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Construction Managers,"Engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations. enjoys diverse and changing work activities has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments; has expertise in adaptability"
"Education Administrators, Elementary and Secondary School","Enjoys interacting with people in complex environments. capable of making decisions in uncertain or dynamic situations. enjoys diverse and changing work activities excels at building and maintaining effective relationships across teams and stakeholders; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments; has expertise in adaptability"
"Education Administrators, Postsecondary","Enjoys interacting with people in complex environments. prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations excels at building and maintaining effective relationships across teams and stakeholders; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Architectural and Engineering Managers,"Prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Food Service Managers,"Good at expressing ideas and leading conversations. capable of making decisions in uncertain or dynamic situations demonstrates strong verbal and written communication skills in diverse professional settings; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Medical and Health Services Managers,"Enjoys interacting with people in complex environments. prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations excels at building and maintaining effective relationships across teams and stakeholders; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
"Property, Real Estate, and Community Association Managers",Enjoys interacting with people in complex environments excels at building and maintaining effective relationships across teams and stakeholders
Social and Community Service Managers,"Enjoys interacting with people in complex environments. capable of making decisions in uncertain or dynamic situations. enjoys diverse and changing work activities excels at building and maintaining effective relationships across teams and stakeholders; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments; has expertise in adaptability"
"Claims Adjusters, Examiners, and Investigators",Good at expressing ideas and leading conversations. prefers less physically demanding work. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in adaptability
Cost Estimators,"Capable of making decisions in uncertain or dynamic situations exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Human Resources Specialists,Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders
Logisticians,Prefers less physically demanding work has expertise in 
Management Analysts,"Prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
"Meeting, Convention, and Event Planners",Prefers less physically demanding work has expertise in 
Fundraisers,Prefers less physically demanding work has expertise in 
"Compensation, Benefits, and Job Analysis Specialists",Prefers less physically demanding work has expertise in 
Training and Development Specialists,Prefers less physically demanding work has expertise in 
Market Research Analysts and Marketing Specialists,Prefers less physically demanding work has expertise in 
Accountants and Auditors,"Enjoys interacting with people in complex environments. prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations. enjoys diverse and changing work activities excels at building and maintaining effective relationships across teams and stakeholders; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments; has expertise in adaptability"
Budget Analysts,Prefers less physically demanding work has expertise in 
Financial Analysts,"Prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Personal Financial Advisors,"Prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Insurance Underwriters,"Prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Loan Officers,Prefers less physically demanding work has expertise in 
Tax Preparers,Prefers less physically demanding work has expertise in 
"Financial Specialists, All Other",Prefers less physically demanding work has expertise in 
Computer Systems Analysts,"Prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Computer Programmers,Prefers less physically demanding work has expertise in 
"Software Developers, Applications","Prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
"Software Developers, Systems Software","Prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Web Developers,"Prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Database Administrators,Prefers less physically demanding work has expertise in 
Network and Computer Systems Administrators,Enjoys interacting with people in complex environments excels at building and maintaining effective relationships across teams and stakeholders
Computer Network Architects,Prefers less physically demanding work has expertise in 
Computer User Support Specialists,Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
Computer Network Support Specialists,Prefers less physically demanding work has expertise in 
"Computer Occupations, All Other","Prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Aerospace Engineers,Prefers less physically demanding work has expertise in 
Civil Engineers,"Engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Electrical Engineers,"Prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
"Electronics Engineers, Except Computer",Prefers less physically demanding work has expertise in 
Industrial Engineers,Prefers less physically demanding work has expertise in 
Mechanical Engineers,"Enjoys interacting with people in complex environments. prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations excels at building and maintaining effective relationships across teams and stakeholders; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
"Medical Scientists, Except Epidemiologists",Prefers less physically demanding work has expertise in 
Chemists,Prefers less physically demanding work has expertise in 
Biological Technicians,Prefers less physically demanding work has expertise in 
Chemical Technicians,Prefers less physically demanding work has expertise in 
"Life, Physical, and Social Science Technicians, All Other",Prefers less physically demanding work has expertise in 
"Educational, Guidance, School, and Vocational Counselors",Enjoys interacting with people in complex environments. prefers less physically demanding work excels at building and maintaining effective relationships across teams and stakeholders
Rehabilitation Counselors,Prefers less physically demanding work has expertise in 
"Child, Family, and School Social Workers","Enjoys interacting with people in complex environments. capable of making decisions in uncertain or dynamic situations. enjoys diverse and changing work activities excels at building and maintaining effective relationships across teams and stakeholders; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments; has expertise in adaptability"
Healthcare Social Workers,"Prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Mental Health and Substance Abuse Social Workers,Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; has expertise in adaptability
Probation Officers and Correctional Treatment Specialists,"Prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Social and Human Service Assistants,Good at expressing ideas and leading conversations. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in adaptability
"Community and Social Service Specialists, All Other",Prefers less physically demanding work has expertise in 
Lawyers,"Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments; has expertise in adaptability"
Paralegals and Legal Assistants,Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
"Business Teachers, Postsecondary",Prefers less physically demanding work has expertise in 
"Mathematical Science Teachers, Postsecondary",Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
"Engineering Teachers, Postsecondary",Prefers less physically demanding work has expertise in 
"Biological Science Teachers, Postsecondary","Prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
"Health Specialties Teachers, Postsecondary",Prefers less physically demanding work has expertise in 
"Nursing Instructors and Teachers, Postsecondary",Prefers less physically demanding work has expertise in 
"Art, Drama, and Music Teachers, Postsecondary",Prefers less physically demanding work has expertise in 
"English Language and Literature Teachers, Postsecondary","Prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
"Vocational Education Teachers, Postsecondary",Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
"Postsecondary Teachers, All Other",Prefers less physically demanding work has expertise in 
"Preschool Teachers, Except Special Education",Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
"Kindergarten Teachers, Except Special Education",Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
"Elementary School Teachers, Except Special Education",Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; has expertise in physically active
"Middle School Teachers, Except Special and Career/Technical Education",Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; has expertise in physically active
"Secondary School Teachers, Except Special and Career/Technical Education","Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
"Career/Technical Education Teachers, Secondary School",Prefers less physically demanding work has expertise in 
"Special Education Teachers, Kindergarten and Elementary School","Prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
"Special Education Teachers, Middle School",Good at expressing ideas and leading conversations demonstrates strong verbal and written communication skills in diverse professional settings
"Special Education Teachers, Secondary School","Good at expressing ideas and leading conversations. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
"Special Education Teachers, All Other",Prefers less physically demanding work has expertise in 
Self-Enrichment Education Teachers, has expertise in 
Librarians,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
Library Technicians,Good at expressing ideas and leading conversations demonstrates strong verbal and written communication skills in diverse professional settings
Instructional Coordinators,Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
Teacher Assistants,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
"Education, Training, and Library Workers, All Other",Prefers less physically demanding work has expertise in 
Graphic Designers,Prefers less physically demanding work has expertise in 
Merchandise Displayers and Window Trimmers,Engages in tasks that require physical effort has expertise in physically active
Coaches and Scouts,Engages in tasks that require physical effort has expertise in physically active
Public Relations Specialists,Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders
Editors,Prefers less physically demanding work has expertise in 
Dietitians and Nutritionists,Prefers less physically demanding work has expertise in 
Pharmacists,"Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. capable of making decisions in uncertain or dynamic situations demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Physician Assistants,"Engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Occupational Therapists,"Engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Physical Therapists,"Enjoys interacting with people in complex environments. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations excels at building and maintaining effective relationships across teams and stakeholders; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Respiratory Therapists,Enjoys interacting with people in complex environments. engages in tasks that require physical effort excels at building and maintaining effective relationships across teams and stakeholders; has expertise in physically active
Speech-Language Pathologists,"Good at expressing ideas and leading conversations. capable of making decisions in uncertain or dynamic situations demonstrates strong verbal and written communication skills in diverse professional settings; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Registered Nurses,"Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments; has expertise in adaptability"
Nurse Practitioners,"Good at expressing ideas and leading conversations. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Dental Hygienists,Prefers less physically demanding work has expertise in 
Radiologic Technologists,Engages in tasks that require physical effort has expertise in physically active
Emergency Medical Technicians and Paramedics,"Good at expressing ideas and leading conversations. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Pharmacy Technicians,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
Psychiatric Technicians,Engages in tasks that require physical effort has expertise in physically active
Surgical Technologists,Engages in tasks that require physical effort has expertise in physically active
Veterinary Technologists and Technicians,Engages in tasks that require physical effort has expertise in physically active
Licensed Practical and Licensed Vocational Nurses,"Good at expressing ideas and leading conversations. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments; has expertise in adaptability"
Medical Records and Health Information Technicians,Prefers less physically demanding work has expertise in 
Home Health Aides,Good at expressing ideas and leading conversations. engages in tasks that require physical effort. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; has expertise in adaptability
Psychiatric Aides,Engages in tasks that require physical effort has expertise in physically active
Nursing Assistants,Good at expressing ideas and leading conversations. engages in tasks that require physical effort. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; has expertise in adaptability
Orderlies,Engages in tasks that require physical effort has expertise in physically active
Physical Therapist Assistants,Engages in tasks that require physical effort has expertise in physically active
Dental Assistants,Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
Medical Assistants,Good at expressing ideas and leading conversations. engages in tasks that require physical effort. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; has expertise in adaptability
Medical Equipment Preparers,Engages in tasks that require physical effort has expertise in physically active
Pharmacy Aides, has expertise in 
Phlebotomists, has expertise in 
"Healthcare Support Workers, All Other", has expertise in 
First-Line Supervisors of Correctional Officers,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
First-Line Supervisors of Police and Detectives,"Enjoys interacting with people in complex environments. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations excels at building and maintaining effective relationships across teams and stakeholders; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
