job_title,requirements
First-Line Supervisors of Fire Fighting and Prevention Workers,"Engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations. enjoys diverse and changing work activities has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments; has expertise in adaptability"
Firefighters,"Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments; has expertise in adaptability"
Correctional Officers and Jailers,"Enjoys interacting with people in complex environments. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations excels at building and maintaining effective relationships across teams and stakeholders; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Police and Sheriff's Patrol Officers,"Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments; has expertise in adaptability"
Security Guards,Engages in tasks that require physical effort. enjoys diverse and changing work activities has expertise in physically active; has expertise in adaptability
Crossing Guards,Prefers less physically demanding work has expertise in 
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
Chefs and Head Cooks, has expertise in 
First-Line Supervisors of Food Preparation and Serving Workers,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
"Cooks, Fast Food",Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
"Cooks, Institution and Cafeteria",Engages in tasks that require physical effort has expertise in physically active
"Cooks, Restaurant",Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
"Cooks, Short Order",Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
Food Preparation Workers,Good at expressing ideas and leading conversations. engages in tasks that require physical effort. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; has expertise in adaptability
Bartenders,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
"Combined Food Preparation and Serving Workers, Including Fast Food",Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",Good at expressing ideas and leading conversations. engages in tasks that require physical effort. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; has expertise in adaptability
Waiters and Waitresses,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
"Food Servers, Nonrestaurant",Engages in tasks that require physical effort has expertise in physically active
Dining Room and Cafeteria Attendants and Bartender Helpers,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
Dishwashers,Engages in tasks that require physical effort has expertise in physically active
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Good at expressing ideas and leading conversations. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in adaptability
"Food Preparation and Serving Related Workers, All Other", has expertise in 
First-Line Supervisors of Housekeeping and Janitorial Workers,Engages in tasks that require physical effort has expertise in physically active
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Engages in tasks that require physical effort has expertise in physically active
Maids and Housekeeping Cleaners,Engages in tasks that require physical effort has expertise in physically active
Landscaping and Groundskeeping Workers,Engages in tasks that require physical effort. enjoys diverse and changing work activities has expertise in physically active; has expertise in adaptability
First-Line Supervisors of Personal Service Workers,"Good at expressing ideas and leading conversations. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Nonfarm Animal Caretakers,Engages in tasks that require physical effort has expertise in physically active
Gaming Dealers,Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
"Ushers, Lobby Attendants, and Ticket Takers",Good at expressing ideas and leading conversations demonstrates strong verbal and written communication skills in diverse professional settings
Amusement and Recreation Attendants,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
"Hairdressers, Hairstylists, and Cosmetologists",Good at expressing ideas and leading conversations demonstrates strong verbal and written communication skills in diverse professional settings
Childcare Workers,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
Personal Care Aides,Good at expressing ideas and leading conversations. engages in tasks that require physical effort. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; has expertise in adaptability
Fitness Trainers and Aerobics Instructors,Good at expressing ideas and leading conversations demonstrates strong verbal and written communication skills in diverse professional settings
Recreation Workers,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
First-Line Supervisors of Retail Sales Workers,Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; has expertise in physically active
First-Line Supervisors of Non-Retail Sales Workers,Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders
Cashiers,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
Counter and Rental Clerks,Good at expressing ideas and leading conversations demonstrates strong verbal and written communication skills in diverse professional settings
Parts Salespersons,Engages in tasks that require physical effort has expertise in physically active
Retail Salespersons,Good at expressing ideas and leading conversations. engages in tasks that require physical effort. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; has expertise in adaptability
Advertising Sales Agents,Enjoys interacting with people in complex environments. prefers less physically demanding work excels at building and maintaining effective relationships across teams and stakeholders
Insurance Sales Agents,Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders
"Securities, Commodities, and Financial Services Sales Agents",Enjoys interacting with people in complex environments. prefers less physically demanding work excels at building and maintaining effective relationships across teams and stakeholders
"Sales Representatives, Services, All Other",Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. prefers less physically demanding work. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; has expertise in adaptability
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. prefers less physically demanding work. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; has expertise in adaptability
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. capable of making decisions in uncertain or dynamic situations. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments; has expertise in adaptability"
Telemarketers,Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders
"Sales and Related Workers, All Other",Good at expressing ideas and leading conversations demonstrates strong verbal and written communication skills in diverse professional settings
First-Line Supervisors of Office and Administrative Support Workers,Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders
Bill and Account Collectors,Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
Billing and Posting Clerks,Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
"Bookkeeping, Accounting, and Auditing Clerks",Prefers less physically demanding work has expertise in 
Payroll and Timekeeping Clerks,Prefers less physically demanding work has expertise in 
Procurement Clerks,Prefers less physically demanding work has expertise in 
Tellers,Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
"Financial Clerks, All Other",Prefers less physically demanding work has expertise in 
"Court, Municipal, and License Clerks",Prefers less physically demanding work has expertise in 
Customer Service Representatives,Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. prefers less physically demanding work. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; has expertise in adaptability
"Eligibility Interviewers, Government Programs",Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
File Clerks,Prefers less physically demanding work has expertise in 
"Hotel, Motel, and Resort Desk Clerks",Good at expressing ideas and leading conversations demonstrates strong verbal and written communication skills in diverse professional settings
"Interviewers, Except Eligibility and Loan",Prefers less physically demanding work has expertise in 
"Library Assistants, Clerical",Engages in tasks that require physical effort has expertise in physically active
Loan Interviewers and Clerks,Enjoys interacting with people in complex environments. prefers less physically demanding work excels at building and maintaining effective relationships across teams and stakeholders
New Accounts Clerks,Enjoys interacting with people in complex environments. prefers less physically demanding work excels at building and maintaining effective relationships across teams and stakeholders
Order Clerks,Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
"Human Resources Assistants, Except Payroll and Timekeeping",Prefers less physically demanding work has expertise in 
Receptionists and Information Clerks,Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
Reservation and Transportation Ticket Agents and Travel Clerks,Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
"Information and Record Clerks, All Other",Prefers less physically demanding work has expertise in 
"Police, Fire, and Ambulance Dispatchers",Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
"Dispatchers, Except Police, Fire, and Ambulance",Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
"Production, Planning, and Expediting Clerks", has expertise in 
"Shipping, Receiving, and Traffic Clerks",Engages in tasks that require physical effort. enjoys diverse and changing work activities has expertise in physically active; has expertise in adaptability
Stock Clerks and Order Fillers,Good at expressing ideas and leading conversations. engages in tasks that require physical effort. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; has expertise in adaptability
Executive Secretaries and Executive Administrative Assistants,"Prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Legal Secretaries,Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
Medical Secretaries,Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
Data Entry Keyers,Prefers less physically demanding work has expertise in 
Insurance Claims and Policy Processing Clerks,Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
"Mail Clerks and Mail Machine Operators, Except Postal Service", has expertise in 
"Office Clerks, General",Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
"Office and Administrative Support Workers, All Other",Prefers less physically demanding work has expertise in 
First-Line Supervisors of Construction Trades and Extraction Workers,Engages in tasks that require physical effort. enjoys diverse and changing work activities has expertise in physically active; has expertise in adaptability
Carpenters,Engages in tasks that require physical effort. enjoys diverse and changing work activities has expertise in physically active; has expertise in adaptability
Construction Laborers,Engages in tasks that require physical effort. enjoys diverse and changing work activities has expertise in physically active; has expertise in adaptability
Operating Engineers and Other Construction Equipment Operators,Engages in tasks that require physical effort. enjoys diverse and changing work activities has expertise in physically active; has expertise in adaptability
Electricians,Engages in tasks that require physical effort. enjoys diverse and changing work activities has expertise in physically active; has expertise in adaptability
"Painters, Construction and Maintenance",Engages in tasks that require physical effort. enjoys diverse and changing work activities has expertise in physically active; has expertise in adaptability
"Plumbers, Pipefitters, and Steamfitters",Engages in tasks that require physical effort has expertise in physically active
Sheet Metal Workers,Engages in tasks that require physical effort has expertise in physically active
Construction and Building Inspectors,Engages in tasks that require physical effort. enjoys diverse and changing work activities has expertise in physically active; has expertise in adaptability
Highway Maintenance Workers,Engages in tasks that require physical effort has expertise in physically active
"First-Line Supervisors of Mechanics, Installers, and Repairers",Good at expressing ideas and leading conversations. engages in tasks that require physical effort. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; has expertise in adaptability
"Telecommunications Equipment Installers and Repairers, Except Line Installers",Engages in tasks that require physical effort has expertise in physically active
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Engages in tasks that require physical effort has expertise in physically active
Aircraft Mechanics and Service Technicians,Prefers less physically demanding work has expertise in 
Automotive Body and Related Repairers,Engages in tasks that require physical effort has expertise in physically active
Automotive Service Technicians and Mechanics,Engages in tasks that require physical effort has expertise in physically active
Bus and Truck Mechanics and Diesel Engine Specialists,Engages in tasks that require physical effort has expertise in physically active
"Mobile Heavy Equipment Mechanics, Except Engines",Engages in tasks that require physical effort has expertise in physically active
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Engages in tasks that require physical effort has expertise in physically active
Industrial Machinery Mechanics,Engages in tasks that require physical effort has expertise in physically active
"Maintenance Workers, Machinery",Engages in tasks that require physical effort. enjoys diverse and changing work activities has expertise in physically active; has expertise in adaptability
Electrical Power-Line Installers and Repairers,Engages in tasks that require physical effort has expertise in physically active
Telecommunications Line Installers and Repairers,Engages in tasks that require physical effort has expertise in physically active
"Maintenance and Repair Workers, General",Engages in tasks that require physical effort. enjoys diverse and changing work activities has expertise in physically active; has expertise in adaptability
"Helpers--Installation, Maintenance, and Repair Workers",Engages in tasks that require physical effort has expertise in physically active
"Installation, Maintenance, and Repair Workers, All Other",Engages in tasks that require physical effort has expertise in physically active
First-Line Supervisors of Production and Operating Workers,Good at expressing ideas and leading conversations. engages in tasks that require physical effort. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; has expertise in adaptability
Bakers,Engages in tasks that require physical effort has expertise in physically active
Butchers and Meat Cutters,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
"Meat, Poultry, and Fish Cutters and Trimmers",Engages in tasks that require physical effort has expertise in physically active
Slaughterers and Meat Packers, has expertise in 
Food Batchmakers,Engages in tasks that require physical effort has expertise in physically active
"Computer-Controlled Machine Tool Operators, Metal and Plastic",Engages in tasks that require physical effort has expertise in physically active
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Engages in tasks that require physical effort has expertise in physically active
"Grinding/Lapping/Polishing/Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Engages in tasks that require physical effort has expertise in physically active
Machinists,Engages in tasks that require physical effort has expertise in physically active
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",Engages in tasks that require physical effort has expertise in physically active
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Engages in tasks that require physical effort has expertise in physically active
Tool and Die Makers,Engages in tasks that require physical effort has expertise in physically active
"Welders, Cutters, Solderers, and Brazers",Engages in tasks that require physical effort. enjoys diverse and changing work activities has expertise in physically active; has expertise in adaptability
Printing Press Operators,Engages in tasks that require physical effort has expertise in physically active
Laundry and Dry-Cleaning Workers, has expertise in 
Sewing Machine Operators,Prefers less physically demanding work has expertise in 
Water and Wastewater Treatment Plant and System Operators,Engages in tasks that require physical effort. enjoys diverse and changing work activities has expertise in physically active; has expertise in adaptability
"Mixing and Blending Machine Setters, Operators, and Tenders",Engages in tasks that require physical effort has expertise in physically active
"Inspectors, Testers, Sorters, Samplers, and Weighers", has expertise in 
Packaging and Filling Machine Operators and Tenders,Engages in tasks that require physical effort has expertise in physically active
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders", has expertise in 
Helpers--Production Workers,Engages in tasks that require physical effort has expertise in physically active
"Production Workers, All Other",Engages in tasks that require physical effort has expertise in physically active
Flight Attendants,Engages in tasks that require physical effort has expertise in physically active
"Bus Drivers, Transit and Intercity",Good at expressing ideas and leading conversations demonstrates strong verbal and written communication skills in diverse professional settings
"Bus Drivers, School or Special Client",Engages in tasks that require physical effort has expertise in physically active
Driver/Sales Workers,Good at expressing ideas and leading conversations. engages in tasks that require physical effort. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; has expertise in adaptability
Heavy and Tractor-Trailer Truck Drivers,Engages in tasks that require physical effort. enjoys diverse and changing work activities has expertise in physically active; has expertise in adaptability
Light Truck or Delivery Services Drivers,Engages in tasks that require physical effort. enjoys diverse and changing work activities has expertise in physically active; has expertise in adaptability
Taxi Drivers and Chauffeurs,Prefers less physically demanding work has expertise in 
Parking Lot Attendants,Prefers less physically demanding work has expertise in 
Excavating and Loading Machine and Dragline Operators,Engages in tasks that require physical effort has expertise in physically active
Industrial Truck and Tractor Operators,Engages in tasks that require physical effort. enjoys diverse and changing work activities has expertise in physically active; has expertise in adaptability
Cleaners of Vehicles and Equipment,Engages in tasks that require physical effort has expertise in physically active
"Laborers and Freight, Stock, and Material Movers, Hand",Engages in tasks that require physical effort. enjoys diverse and changing work activities has expertise in physically active; has expertise in adaptability
Machine Feeders and Offbearers,Engages in tasks that require physical effort has expertise in physically active
"Packers and Packagers, Hand",Engages in tasks that require physical effort. enjoys diverse and changing work activities has expertise in physically active; has expertise in adaptability
Refuse and Recyclable Material Collectors,Engages in tasks that require physical effort has expertise in physically active
"Material Moving Workers, All Other",Prefers less physically demanding work has expertise in 
